BIOESTATÍSTICA,
ÉTICA E BIOÉTICA,
FENÔMENOS E PROCESSOS PSICOLÓGICOS: ENFOQUE COMPORTAMENTAL II,
GENÉTICA HUMANA,
IMUNOLOGIA,
NUTRIÇÃO BÁSICA,
ORIENTAÇÃO PROFISSIONAL,
PARASITOLOGIA,
SAÚDE COLETIVA I,
SAÚDE COLETIVA II,
SAÚDE COLETIVA III,
SEMINÁRIOS EM NUTRIÇÃO III,
TÉCNICA DIETÉTICA I,
TOXICOLOGIA DOS ALIMENTOS,
METODOLOGIA CIENTÍFICA PARA COMPUTAÇÃO, FACOM
TÓPICOS EM FILOSOFIA DA MÚSICA,
FUNDAMENTOS DE FENÔMENOS DOS TRANSPORTES,
QUÍMICA GERAL EXPERIMENTAL,
ÁLGEBRA I,
ÁLGEBRA II,
EMPREENDEDORISMO E INOVAÇÃO,
INTRODUÇÃO ÀS CIÊNCIAS SOCIAIS E POLÍTICAS,
RELAÇÕES ÉTNICO-RACIAIS,
"VERIFICAÇÃO, VALIDAÇÃO E TESTE DE SOFTWARE II", FACOM
PSICOPATOLOGIA GERAL I,
TEORIA GERAL DO DIREITO PENAL,
TÓPICOS EM COMPUTAÇÃO V, FACOM
TÓPICOS EM ENGENHARIA DE COMPUTAÇÃO II, FACOM
TÓPICOS EM TESTES DE SOFTWARE, FACOM
EVOLUÇÃO DAS IDÉIAS DA FÍSICA I,
INTRODUÇÃO AO LABORATÓRIO DE FÍSICA,
DIREITOS HUMANOS II,
INTRODUÇÃO À FILOSOFIA DA MÚSICA,
INTRODUÇÃO À MÚSICA I,
EQUAÇÕES DIFERENCIAIS ORDINÁRIAS,
INTRODUÇÃO A GESTÃO ORGANIZACIONAL,
INTRODUÇÃO À ASTRONOMIA,
GESTÃO DE PESSOAS I,
TÓPICOS EM SMART GRID I,
INTRODUÇÃO À SOCIOLOGIA COMPUTACIONAL, 
MATEMÁTICA ELEMENTAR,
HISTÓRIA DO PENSAMENTO ECONÔMICO,
INSTRUMENTO MUSICAL/CANTO I,
INSTRUMENTO MUSICAL/CANTO II,
INSTRUMENTO MUSICAL IV,
INSTRUMENTO MUSICAL VI,
MÚSICA DE CÂMARA E PRÁTICA EM CONJUNTO I,
SEQUÊNCIAS E SÉRIES,
ADMINISTRAÇÃO MERCADOLÓGICA I,
PSICOLOGIA DA COMUNICAÇÃO,
FUNDAMENTOS DE ELETROMAGNETISMO,
"LABORATÓRIO DE MECÂNICA, FLUIDOS E TERMODINÂMICA",
TÓPICOS ESPECIAIS EM BIOTECNOLOGIA E SAÚDE I,
INTRODUÇÃO À METODOLOGIA DA PESQUISA JURÍDICA,
BIOLOGIA CELULAR,
EMBRIOLOGIA,
METODOLOGIA DA PESQUISA BIBLIOGRÁFICA E PRODUÇÃO DE TEXTOS ACADÊMICOS,
PSICOLOGIA,
QUÍMICA DOS ALIMENTOS,
SAÚDE E CIDADANIA III,
SAÚDE E CIDADANIA IV,
DESENVOLVIMENTO DE PLANO DE NEGÓCIOS E ESTRATÉGIA DE PRODUÇÃO,
ECONOMIA POLÍTICA INTERNACIONAL,
PSICOLOGIA E TRABALHO,
TECNOLOGIA DA INFORMAÇÃO E CIÊNCIAS SOCIAIS,
TEXTO DRAMÁTICO,
TEORIA MICROECONÔMICA I,
LITERATURA E ESTUDOS DE GÊNERO,
FUNDAMENTOS DE MATEMÁTICA A,
FUNDAMENTOS DE MATEMÁTICA B,
MATEMÁTICA DISCRETA,
HISTÓRIA DA ARTE - DO SÉCULO XIV AO SÉCULO XVIII,
TEORIA DA COR,
FILOSOFIA DA LINGUAGEM,
CIRCUITOS DIGITAIS I,
CIRCUITOS DIGITAIS II,
CIRCUITOS ELÉTRICOS I,
ELETRÔNICA II,
EMPREENDEDORISMO E INOVAÇÃO TECNOLÓGICA,
FUNDAMENTOS DE MECÂNICA,
MECÂNICA QUÂNTICA 1,
MEDIDAS ELÉTRICAS,
ONDAS E ANTENAS,
PRINCÍPIOS DE COMUNICAÇÃO,
PROCESSAMENTO DE SINAIS,
SISTEMAS DE CONTROLE MODERNO,
TRANSMISSÃO DE ENERGIA ELÉTRICA,
INTRODUÇÃO À FÍSICA MATEMÁTICA,
INTRODUÇÃO À PESQUISA EM ENSINO DE FÍSICA,
GESTÃO DA QUALIDADE,
GESTÃO DE PESSOAS,
ANÁLISE DE INVESTIMENTOS,
ASPECTOS DA CULTURA EM MATO GROSSO DO SUL,
FOTOGRAFIA,
