ID disciplina horario carga    turma  curso  turno  semestre  entrada   num.t  num.a  num.r  num.d   media.t media.a  media.r  media.d  media.freq.t media.freq.a media.freq.r 	media.freq.d
49	3	1.50	2	2075	2	2	4	1	18.00	0.89	0.11	0.00	7.9	8.4	3.6	NaN	12.6	7.8	51.2	NaN
49	3	1.50	2	2075	2	2	4	1	18.00	0.89	0.11	0.00	7.9	8.4	3.6	NaN	12.6	7.8	51.2	NaN
50	3	4.50	2	2075	2	2	4	1	7.00	0.71	0.00	0.29	5.6	7.9	NaN	0.0	30.0	2.0	NaN	100.0
50	3	4.50	2	2075	2	2	4	1	7.00	0.71	0.00	0.29	5.6	7.9	NaN	0.0	30.0	2.0	NaN	100.0
50	3	1.50	2	2075	2	2	4	1	7.00	0.71	0.00	0.29	5.6	7.9	NaN	0.0	30.0	2.0	NaN	100.0
50	3	1.50	2	2075	2	2	4	1	7.00	0.71	0.00	0.29	5.6	7.9	NaN	0.0	30.0	2.0	NaN	100.0
51	3	2.00	3	2075	2	2	4	1	33.00	0.48	0.39	0.12	5.1	7.9	3.1	0.2	22.9	7.8	20.5	90.8
51	3	2.00	3	2075	2	2	4	1	33.00	0.48	0.39	0.12	5.1	7.9	3.1	0.2	22.9	7.8	20.5	90.8
52	1	2.00	3	2075	2	2	4	1	27.00	0.33	0.59	0.07	4.7	8.5	3.1	0.7	19.0	5.0	19.1	81.7
52	1	3.33	3	2075	2	2	4	1	27.00	0.33	0.59	0.07	4.7	8.5	3.1	0.7	19.0	5.0	19.1	81.7
53	5	0.00	2	2075	2	2	4	1	33.00	0.67	0.33	0.00	6.6	8.0	3.8	NaN	10.4	6.2	18.6	NaN
54	5	0.00	4	2075	2	2	4	1	34.00	0.62	0.35	0.03	6.1	7.6	4.0	0.0	15.8	8.2	22.5	95.0
55	1	1.33	3	2075	2	2	4	1	31.00	0.45	0.55	0.00	5.4	7.9	3.4	NaN	18.5	10.4	25.3	NaN
56	4	6.00	1	2074	2	2	6	1	27.00	0.85	0.15	0.00	7.8	9.0	1.0	NaN	13.0	11.1	23.8	NaN
57	2	4.00	2	2074	2	2	6	1	25.00	0.92	0.08	0.00	7.8	8.3	2.3	NaN	2.6	2.4	5.0	NaN
58	3	1.50	2	2074	2	2	6	1	29.00	0.83	0.10	0.07	6.8	7.8	2.2	1.7	18.4	11.8	28.3	82.5
59	1	4.33	3	2074	2	2	6	1	23.00	0.74	0.26	0.00	7.0	8.1	3.8	NaN	8.7	6.8	14.2	NaN
60	5	0.00	2	2074	2	2	6	1	27.00	0.93	0.07	0.00	7.7	8.2	1.9	NaN	11.3	10.5	21.2	NaN
61	5	0.00	2	2074	2	2	6	1	24.00	0.71	0.29	0.00	6.4	7.8	2.9	NaN	14.6	7.5	31.8	NaN
62	5	0.00	2	2074	2	2	6	1	21.00	0.95	0.05	0.00	7.7	7.9	2.0	NaN	5.2	3.5	40.0	NaN
63	5	0.00	2	2074	2	2	6	1	24.00	0.92	0.08	0.00	7.2	7.7	1.9	NaN	6.0	3.4	35.0	NaN
64	1	5.50	2	2074	2	2	6	1	25.00	0.96	0.04	0.00	7.6	7.9	0.0	NaN	6.0	6.2	0.0	NaN
